Gene,Biological_Role
ACSL5,"acyl-CoA synthetase long chain family member 5: The protein encoded by this gene is an isozyme of the long-chain fatty-acid-coenzyme A ligase family. Although differing in substrate specificity, subcellular localization, and tissue distribution, all isozymes of this family convert free long-chain fatty acids into fatty acyl-CoA esters, and thereby play a key role in lipid biosynthesis and fatty acid degradation. This isozyme is highly expressed in uterus and spleen, and in trace amounts in normal brain, but has markedly increased levels in malignant gliomas. This gene functions in mediating fatty acid-induced glioma cell growth. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
ACSS2,"acyl-CoA synthetase short chain family member 2: This gene encodes a cytosolic enzyme that catalyzes the activation of acetate for use in lipid synthesis and energy generation. The protein acts as a monomer and produces acetyl-CoA from acetate in a reaction that requires ATP. Expression of this gene is regulated by sterol regulatory element-binding proteins, transcription factors that activate genes required for the synthesis of cholesterol and unsaturated fatty acids. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2009]"
ACTA2,"actin alpha 2, smooth muscle: This gene encodes one of six different actin proteins. Actins are highly conserved proteins that are involved in cell motility, structure, integrity, and intercellular signaling. The encoded protein is a smooth muscle actin that is involved in vascular contractility and blood pressure homeostasis. Mutations in this gene cause a variety of vascular diseases, such as thoracic aortic disease, coronary artery disease, stroke, and Moyamoya disease, as well as multisystemic smooth muscle dysfunction syndrome. [provided by RefSeq, Sep 2017]"
ACTA2-AS1,ACTA2 antisense RNA 1
ACTB,"actin beta: This gene encodes one of six different actin proteins. Actins are highly conserved proteins that are involved in cell motility, structure, integrity, and intercellular signaling. The encoded protein is a major constituent of the contractile apparatus and one of the two nonmuscle cytoskeletal actins that are ubiquitously expressed. Mutations in this gene cause Baraitser-Winter syndrome 1, which is characterized by intellectual disability with a distinctive facial appearance in human patients. Numerous pseudogenes of this gene have been identified throughout the human genome. [provided by RefSeq, Aug 2017]"
ACTC1,"actin alpha cardiac muscle 1: Actins are highly conserved proteins that are involved in various types of cell motility. Polymerization of globular actin (G-actin) leads to a structural filament (F-actin) in the form of a two-stranded helix. Each actin can bind to four others. The protein encoded by this gene belongs to the actin family which is comprised of three main groups of actin isoforms, alpha, beta, and gamma. The alpha actins are found in muscle tissues and are a major constituent of the contractile apparatus. Defects in this gene have been associated with idiopathic dilated cardiomyopathy (IDC) and familial hypertrophic cardiomyopathy (FHC). [provided by RefSeq, Jul 2008]"
ACTL6A,"actin like 6A: This gene encodes a family member of actin-related proteins (ARPs), which share significant amino acid sequence identity to conventional actins. Both actins and ARPs have an actin fold, which is an ATP-binding cleft, as a common feature. The ARPs are involved in diverse cellular processes, including vesicular transport, spindle orientation, nuclear migration and chromatin remodeling. This gene encodes a 53 kDa subunit protein of the BAF (BRG1/brm-associated factor) complex in mammals, which is functionally related to SWI/SNF complex in S. cerevisiae and Drosophila; the latter is thought to facilitate transcriptional activation of specific genes by antagonizing chromatin-mediated transcriptional repression. Together with beta-actin, it is required for maximal ATPase activity of BRG1, and for the association of the BAF complex with chromatin/matrix. Three transcript variants that encode two different protein isoforms have been described. [provided by RefSeq, Jul 2008]"
ACTN4,"actinin alpha 4: Alpha actinins belong to the spectrin gene superfamily which represents a diverse group of cytoskeletal proteins, including the alpha and beta spectrins and dystrophins.  Alpha actinin is an actin-binding protein with multiple roles in different cell types.  In nonmuscle cells, the cytoskeletal isoform is found along microfilament bundles and adherens-type junctions, where it is involved in binding actin to the membrane.  In contrast, skeletal, cardiac, and smooth muscle isoforms are localized to the Z-disc and analogous dense bodies, where they help anchor the myofibrillar actin filaments.  This gene encodes a nonmuscle, alpha actinin isoform which is concentrated in the cytoplasm, and thought to be involved in metastatic processes.  Mutations in this gene have been associated with focal and segmental glomerulosclerosis. [provided by RefSeq, Jul 2008]"
ACVR1,"activin A receptor type 1: Activins are dimeric growth and differentiation factors which belong to the transforming growth factor-beta (TGF-beta) superfamily of structurally related signaling proteins. Activins signal through a heteromeric complex of receptor serine kinases which include at least two type I ( I and IB) and two type II (II and IIB) receptors. These receptors are all transmembrane proteins, composed of a ligand-binding extracellular domain with cysteine-rich region, a transmembrane domain, and a cytoplasmic domain with predicted serine/threonine specificity. Type I receptors are essential for signaling; and type II receptors are required for binding ligands and for expression of type I receptors. Type I and II receptors form a stable complex after ligand binding, resulting in phosphorylation of type I receptors by type II receptors. This gene encodes activin A type I receptor which signals a particular transcriptional response in concert with activin type II receptors. Mutations in this gene are associated with fibrodysplasia ossificans progressive. [provided by RefSeq, Jul 2008]"
ACVR1C,"activin A receptor type 1C: ACVR1C is a type I receptor for the TGFB (see MIM 190180) family of signaling molecules. Upon ligand binding, type I receptors phosphorylate cytoplasmic SMAD transcription factors, which then translocate to the nucleus and interact directly with DNA or in complex with other transcription factors (Bondestam et al., 2001 [PubMed 12063393]).[supplied by OMIM, Mar 2008]"
ACY1,"aminoacylase 1: This gene encodes a cytosolic, homodimeric, zinc-binding enzyme that catalyzes the hydrolysis of acylated L-amino acids to L-amino acids and an acyl group, and has been postulated to function in the catabolism and salvage of acylated amino acids. This gene is located on chromosome 3p21.1, a region reduced to homozygosity in small-cell lung cancer (SCLC), and its expression has been reported to be reduced or undetectable in SCLC cell lines and tumors. The amino acid sequence of human aminoacylase-1 is highly homologous to the porcine counterpart, and this enzyme is the first member of a new family of zinc-binding enzymes. Mutations in this gene cause aminoacylase-1 deficiency, a metabolic disorder characterized by central nervous system defects and increased urinary excretion of N-acetylated amino acids. Alternative splicing of this gene results in multiple transcript variants. Read-through transcription also exists between this gene and the upstream ABHD14A (abhydrolase domain containing 14A) gene, as represented in GeneID:100526760. A related pseudogene has been identified on chromosome 18. [provided by RefSeq, Nov 2010]"
ADA,"adenosine deaminase: This gene encodes an enzyme that catalyzes the hydrolysis of adenosine to inosine in the purine catabolic pathway. Various mutations have been described for this gene and have been linked to human diseases related to impaired immune function such as severe combined immunodeficiency disease (SCID) which is the result of a deficiency in the ADA enzyme. In ADA-deficient individuals there is a marked depletion of T, B, and NK lymphocytes, and consequently, a lack of both humoral and cellular immunity. Conversely, elevated levels of this enzyme are associated with congenital hemolytic anemia. [provided by RefSeq, Sep 2019]"
